family,year,quantity,unit,source_title,source_url,locator
Fisheries / Marine,1999,92305987.55,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 1999."
Fisheries / Marine,2000,94111920.93,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2000."
Fisheries / Marine,2001,91342725.08,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2001."
Fisheries / Marine,2002,91723724.59,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2002."
Fisheries / Marine,2003,88932377.6,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2003."
Fisheries / Marine,2004,93599321.46,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2004."
Fisheries / Marine,2005,93215190.36,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2005."
Fisheries / Marine,2006,90833495.5,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2006."
Fisheries / Marine,2007,91101847.15,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2007."
Fisheries / Marine,2008,90282488.14,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2008."
Fisheries / Marine,2009,89661162.45,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2009."
Fisheries / Marine,2010,87728529.68,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2010."
Fisheries / Marine,2011,92212318.37,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2011."
Fisheries / Marine,2012,89295688.61,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2012."
Fisheries / Marine,2013,90498511.61,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2013."
Fisheries / Marine,2014,91092327.18,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2014."
Fisheries / Marine,2015,92210703.81,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2015."
Fisheries / Marine,2016,90216992.35,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2016."
Fisheries / Marine,2017,94016976.23,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2017."
Fisheries / Marine,2018,96877060.0,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2018."
Fisheries / Marine,2019,92806853.89,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2019."
Fisheries / Marine,2020,90338637.43,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2020."
Fisheries / Marine,2021,92101202.44,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2021."
Fisheries / Marine,2022,87988165.97,t output,World Bank indicator ER.FSH.CAPT.MT (source: FAO Fisheries and Aquaculture Department),https://api.worldbank.org/v2/country/WLD/indicator/ER.FSH.CAPT.MT?format=json&per_page=200,"World capture fisheries production, year 2022."
Gold Fields,1920,502.63218508799997,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Gold table retrospective series, 1920 world total = 16,160,000 fine oz."
Gold Fields,1921,496.72252449599995,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Gold table retrospective series, 1921 world total."
Gold Fields,1922,482.10389039999995,t output,Statistical Summary of the Mineral Industry 1945-1951,https://nora.nerc.ac.uk/id/eprint/535285/1/SS_1945_1951.pdf,"Gold table retrospective series, 1922 world total."
Gold Fields,1930,650.06266512,t output,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,"Gold table, 1930 world total."
Gold Fields,1931,696.71788032,t output,Statistical Summary of the Mineral Industry 1930-1932,https://nora.nerc.ac.uk/id/eprint/535282/1/SS_1930_1932.pdf,"Gold table, 1931 world total."
